MIN,MAX,Enemy,Weight,出現エリア想定,出現確率
20,21,ウンディーネLv.2,10,15,2.44%
22,23,大蛇Lv.2,100,24,34.84%
22,23,狼Lv.2,60,22,20.91%
22,23,死神Lv.1,60,23,20.91%
22,23,サモナーLv.1,60,26,20.91%
22,23,ウンディーネLv.2,7,15,2.44%
24,25,ハルピュイアLv.1,100,27,29.41%
24,25,グレンデルLv.1,100,28,29.41%
24,25,ケットシーLv.2,50,29,14.71%
24,25,ゴブリンLv.2,80,25,23.53%
24,25,ウンディーネLv.2,10,15,2.94%
26,27,バットLv.3,90,30,51.43%
26,27,ケットシーLv.2,30,29,17.14%
26,27,グレンデルLv.1,50,28,28.57%
26,27,ウンディーネLv.2,5,15,2.86%
28,29,ドラゴンLv.1,100,30,27.78%
28,29,ハルピュイアLv.1,50,27,13.89%
28,29,ガルーダLv.1,100,32,27.78%
28,29,ゴーストLv.2,100,31,27.78%
28,29,ウンディーネLv.2,10,15,2.78%
30,32,スナイパーLv.1,100,35,35.71%
30,32,シーフLv.2,80,34,28.57%
30,32,ドラゴンLv.1,50,30,17.86%
30,32,ハルピュイアLv.1,50,27,17.86%
33,35,コボルトLv.2,100,35,25.00%
33,35,ハルピュイアLv.1,100,27,25.00%
33,35,スライムLv.3,100,37,25.00%
33,35,動く甲冑Lv.2,100,40,25.00%
36,38,動く甲冑Lv.2,100,40,33.33%
36,38,老師Lv.1,100,41,33.33%
36,38,エルフLv.1,100,42,33.33%
39,40,エルフLv.1,50,42,20.00%
39,40,リザードマンLv.2,100,44,40.00%
39,40,アメーバLv.2,100,39,40.00%
41,43,リザードマンLv.2,50,44,13.16%
41,43,火薬学士Lv.2,100,46,26.32%
41,43,老師Lv.1,100,41,26.32%
41,43,スライムLv.3,100,37,26.32%
41,43,シーフLv.2,20,34,5.26%
41,43,ウンディーネLv.3,10,45,2.63%
44,46,火薬学士Lv.2,50,46,13.16%
44,46,ガストLv.1,100,48,26.32%
44,46,ビショップLv.3,100,47,26.32%
44,46,ゴブリンLv.3,100,50,26.32%
44,46,シーフLv.2,20,34,5.26%
44,46,ウンディーネLv.3,10,45,2.63%
47,49,ゴブリンLv.3,50,50,13.16%
47,49,ハルピュイアLv.2,100,51,26.32%
47,49,コボルトLv.3,100,54,26.32%
47,49,大蛇Lv.3,100,49,26.32%
47,49,シーフLv.2,20,34,5.26%
47,49,ウンディーネLv.3,10,45,2.63%
50,52,スナイパーLv.2,100,55,39.53%
50,52,トロールLv.2,100,52,39.53%
50,52,コボルトLv.3,50,54,19.76%
50,52,ウンディーネLv.3,3,45,1.19%
53,55,ゾンビLv.3,100,56,28.17%
53,55,タイタンLv.2,100,58,28.17%
53,55,サモナーLv.2,100,59,28.17%
53,55,ハルピュイアLv.2,50,51,14.08%
53,55,ウンディーネLv.3,5,45,1.41%
56,58,ハルピュイアLv.3,100,60,25.97%
56,58,ケットシーLv.3,50,60,12.99%
56,58,ピクシーLv.2,100,61,25.97%
56,58,タイタンLv.2,80,58,20.78%
56,58,ハルピュイアLv.2,50,51,12.99%
56,58,ウンディーネLv.3,5,45,1.30%
59,61,老師Lv.2,100,62,24.39%
59,61,シーフLv.3,50,63,12.20%
59,61,ピクシーLv.2,80,61,19.51%
59,61,ハルピュイアLv.3,50,60,12.20%
59,61,ハルピュイアLv.2,50,51,12.20%
59,61,ドラゴンLv.2,80,65,19.51%
62,64,死神Lv.2,100,66,30.30%
62,64,エルフLv.2,100,67,30.30%
62,64,リザードマンLv.3,80,64,24.24%
62,64,ピクシーLv.2,50,61,15.15%
65,67,サムライLv.3,100,70,25.00%
65,67,ゴーストLv.3,100,69,25.00%
65,67,ガルーダLv.2,100,68,25.00%
65,67,死神Lv.2,50,66,12.50%
65,67,ハルピュイアLv.3,25,60,6.25%
65,67,ハルピュイアLv.2,25,51,6.25%
68,70,吸血草Lv.3,100,74,24.39%
68,70,グレンデルLv.2,100,73,24.39%
68,70,火薬学士Lv.3,100,72,24.39%
68,70,ガストLv.2,60,71,14.63%
68,70,ハルピュイアLv.3,25,60,6.10%
68,70,ハルピュイアLv.2,25,51,6.10%
71,73,吸血草Lv.3,100,74,31.25%
71,73,スナイパーLv.3,100,75,31.25%
71,73,グレンデルLv.2,70,73,21.88%
71,73,火薬学士Lv.3,50,72,15.63%
74,76,サモナーLv.3,100,78,31.25%
74,76,ピクシーLv.3,100,77,31.25%
74,76,バロールLv.3,100,76,31.25%
74,76,グレンデルLv.3,20,81,6.25%
77,79,動く甲冑Lv.3,100,85,27.78%
77,79,アメーバLv.3,100,84,27.78%
77,79,グレンデルLv.3,100,81,27.78%
77,79,狼Lv.3,60,83,16.67%
80,82,エルフLv.3,100,87,25.64%
80,82,動く甲冑Lv.3,70,85,17.95%
80,82,アメーバLv.3,70,84,17.95%
80,82,サモナーLv.3,50,78,12.82%
80,82,バロールLv.3,50,76,12.82%
80,82,コボルトLv.3,50,54,12.82%
83,85,トロールLv.3,100,88,22.22%
83,85,エルフLv.3,100,87,22.22%
83,85,グレンデルLv.3,100,81,22.22%
83,85,アメーバLv.3,100,84,22.22%
83,85,ハルピュイアLv.3,25,60,5.56%
83,85,ハルピュイアLv.2,25,51,5.56%
86,88,死神Lv.3,100,89,24.39%
86,88,トロールLv.3,100,88,24.39%
86,88,タイタンLv.3,100,90,24.39%
86,88,動く甲冑Lv.3,50,85,12.20%
86,88,ピクシーLv.3,60,77,14.63%
89,91,ガルーダLv.3,100,92,21.74%
89,91,死神Lv.3,100,89,21.74%
89,91,トロールLv.3,100,88,21.74%
89,91,タイタンLv.3,80,90,17.39%
89,91,ピクシーLv.3,80,77,17.39%
92,94,老師Lv.3,100,93,25.00%
92,94,ガルーダLv.3,100,92,25.00%
92,94,ピクシーLv.3,100,77,25.00%
92,94,エルフLv.3,100,87,25.00%
95,99,ドラゴンLv.3,100,99,20.41%
95,99,ガストLv.3,100,95,20.41%
95,99,ピクシーLv.3,100,77,20.41%
95,99,老師Lv.3,70,93,14.29%
95,99,コボルトLv.3,70,54,14.29%
95,99,ハルピュイアLv.2,25,51,5.10%
95,99,ハルピュイアLv.3,25,60,5.10%
